task_id,condition,gold_decision,decision_label,decision_matches_gold,audit_pass,requires_human_review,evidence_alignment_score,escalation_label,signal_reason,real_api_calls
P04-T0001,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0002,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0004,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0005,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0006,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0011,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0013,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0014,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0015,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0016,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0017,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0019,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0020,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0021,conflicted,decline,decline,True,False,True,0.77,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0022,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0024,conflicted,approve,review,False,False,True,0.59,mandatory_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0001,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0002,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0003,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0004,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0005,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0006,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0007,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0008,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0009,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0010,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0011,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0012,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0013,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0014,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0015,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0016,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0017,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0018,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0019,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0020,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0021,partial,decline,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0022,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0023,partial,review,review,True,True,True,0.76,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
P04-T0024,partial,approve,review,False,False,True,0.58,soft_escalation,review_or_mismatch_or_audit_or_low_alignment,0
