runner_call_order,runner_call_id,stage,evidence_condition,api_model_name,api_endpoint,execution_mode,approval_phrase_required,api_key_env_required,raw_prompt_storage,raw_response_storage,jsonl_storage,sanitized_output_only,model_call_allowed_now
1,pilot05_glm52_micro_0001,decision,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
2,pilot05_glm52_micro_0002,audit,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
3,pilot05_glm52_micro_0003,escalation,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
4,pilot05_glm52_micro_0004,decision,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
5,pilot05_glm52_micro_0005,audit,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
6,pilot05_glm52_micro_0006,escalation,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
7,pilot05_glm52_micro_0007,decision,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
8,pilot05_glm52_micro_0008,audit,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
9,pilot05_glm52_micro_0009,escalation,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
10,pilot05_glm52_micro_0010,decision,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
11,pilot05_glm52_micro_0011,audit,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
12,pilot05_glm52_micro_0012,escalation,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
13,pilot05_glm52_micro_0013,decision,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
14,pilot05_glm52_micro_0014,audit,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
15,pilot05_glm52_micro_0015,escalation,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
16,pilot05_glm52_micro_0016,decision,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
17,pilot05_glm52_micro_0017,audit,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
18,pilot05_glm52_micro_0018,escalation,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
19,pilot05_glm52_micro_0019,decision,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
20,pilot05_glm52_micro_0020,audit,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
21,pilot05_glm52_micro_0021,escalation,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
22,pilot05_glm52_micro_0022,decision,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
23,pilot05_glm52_micro_0023,audit,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
24,pilot05_glm52_micro_0024,escalation,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
25,pilot05_glm52_micro_0025,decision,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
26,pilot05_glm52_micro_0026,audit,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
27,pilot05_glm52_micro_0027,escalation,clean,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
28,pilot05_glm52_micro_0028,decision,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
29,pilot05_glm52_micro_0029,audit,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
30,pilot05_glm52_micro_0030,escalation,compressed,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
31,pilot05_glm52_micro_0031,decision,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
32,pilot05_glm52_micro_0032,audit,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
33,pilot05_glm52_micro_0033,escalation,partial_dropout,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
34,pilot05_glm52_micro_0034,decision,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
35,pilot05_glm52_micro_0035,audit,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
36,pilot05_glm52_micro_0036,escalation,noisy_conflicting,glm-5.2,https://api.z.ai/api/paas/v4/chat/completions,future_real_call_requires_exact_approval,True,ZAI_API_KEY,FORBIDDEN,FORBIDDEN,FORBIDDEN,True,False
