evidence_condition,stage,failure_family_or_parser_category,n_rows
clean,audit,json_parse_error,28
clean,audit,none,30
clean,decision,json_parse_error,29
clean,decision,none,30
clean,escalation,json_parse_error,35
clean,escalation,none,25
compressed_lossy,audit,evidence_loss,48
compressed_lossy,audit,json_parse_error,12
compressed_lossy,decision,evidence_loss,51
compressed_lossy,decision,json_parse_error,9
compressed_lossy,escalation,evidence_loss,43
compressed_lossy,escalation,json_parse_error,17
noisy_conflicting,audit,conflict_unresolved,52
noisy_conflicting,audit,json_parse_error,7
noisy_conflicting,decision,conflict_unresolved,46
noisy_conflicting,decision,json_parse_error,12
noisy_conflicting,escalation,conflict_unresolved,37
noisy_conflicting,escalation,json_parse_error,22
partial_dropout,audit,evidence_loss,41
partial_dropout,audit,json_parse_error,19
partial_dropout,decision,evidence_loss,35
partial_dropout,decision,json_parse_error,25
partial_dropout,escalation,evidence_loss,32
partial_dropout,escalation,json_parse_error,28
