placeholder_id,resolution_status,primary_source_ids,adjacent_or_caution_source_ids,proposed_bounded_insertion,claim_limit
CIT-ESR-01,RESOLVED_WITH_BOUNDED_SYNTHESIS,SRC-CHECKLIST-2020;SRC-RAGAS-2024;SRC-ARES-2024,SRC-CALIBRATION-2017;SRC-INSUFFICIENT-EVIDENCE-2022;SRC-SURE-RAG-2026;SRC-EVIDENCE-DELAY-2026;SRC-STATE-TRACE-2026,"Prior evaluation work separates dimensions such as behavioral capability, calibration, context relevance, faithfulness, and answer relevance. The present study adds a bounded operational layer for the completeness and usability of evidence passed across decision, audit, and escalation stages.",Do not claim that prior work ignores intermediate evidence or that Evidence-State Reliability is globally unprecedented.
CIT-CASCADE-01,RESOLVED_WITH_QUALIFICATION,SRC-CASCADE-NETWORKS-2002;SRC-AGENTBENCH-2024,SRC-SPARK-FIRE-2026;SRC-HALLUCINATION-CASCADE-2026;SRC-INSUFFICIENT-EVIDENCE-2022,"Cascade and propagation concepts are established in complex systems, and emerging LLM work studies multi-agent error diffusion. Here, reliability cascade is used more narrowly for condition-linked changes across decision, audit, and escalation under a controlled evidence-state intervention.",Do not claim invention of cascade concepts or deployed-system causality.
CIT-PIPELINE-01,RESOLVED,SRC-AGENTBENCH-2024;SRC-RAGAS-2024;SRC-ARES-2024,SRC-SPARK-FIRE-2026;SRC-HALLUCINATION-CASCADE-2026,Interactive agents and retrieval-augmented systems motivate component- and stage-aware evaluation rather than reliance on a single end-to-end score.,Do not imply that all multi-stage systems share the same cascade mechanism.
CIT-PARSER-01,RESOLVED_WITH_HIGH_OVERLAP_WARNING,SRC-GCD-2023,SRC-CONSTRAINT-TAX-2026;SRC-STRUCTURED-BENCH-2026;SRC-CITED-NOT-VERIFIED-2026,"Structured-generation work treats schema conformance as an explicit output property, while recent benchmarks show that validity and value-level correctness can diverge. The present experiment tests a different source of divergence: controlled degradation of the evidence state supplied to a multi-stage pipeline.",Do not claim that structural-versus-semantic divergence is new.
CIT-AUDIT-01,RESOLVED,SRC-AUDIT-2020,SRC-FSB-AI-2017;SRC-FSB-AI-2026;SRC-STATE-TRACE-2026;SRC-CITED-NOT-VERIFIED-2026,"End-to-end auditing emphasizes documentation, traceability, and lifecycle accountability. In this experiment, the audit stage is a narrower computational function whose success remains limited by the evidence available to it.",Do not equate the experimental audit stage with a full organizational or regulatory audit.
CIT-UNCERTAINTY-01,RESOLVED,SRC-DEFER-2020;SRC-SELECTIVENET-2019,SRC-SURE-RAG-2026;SRC-EVIDENCE-DELAY-2026,Selective prediction and learning-to-defer establish abstention and deferral as distinct decision functions. The present escalation layer asks whether downstream recovery succeeds when the evidence state is degraded.,Do not claim an optimal escalation policy or identify escalation correctness with uncertainty calibration.
CIT-FINAI-01,RESOLVED_FOR_DOMAIN_MOTIVATION_ONLY,SRC-FSB-AI-2017,SRC-FSB-AI-2026;SRC-EVIDENCE-DELAY-2026,"Financial-sector institutions identify interpretability, auditability, testing, and interconnectedness as important AI risk considerations, motivating careful reliability evaluation in this domain.","Domain context does not establish deployment, regulatory, financial, or consumer-harm validity."
CIT-CFPB-01,RESOLVED,SRC-CFPB-DATABASE,,"The CFPB database is a public complaint resource, but CFPB cautions that complaints are not a statistical sample, narratives are consumer accounts, and interpretation requires contextual information.","Do not infer prevalence, company misconduct, representativeness, or verified factual truth from complaint records."
CIT-VALIDITY-01,RESOLVED,SRC-WOHLIN-2012,,"Threats are organized using construct, internal, external, and conclusion-validity categories.",The framework structures limitations; it does not remove them.
CIT-REPRO-01,RESOLVED,SRC-REPRO-2021,,"The study uses manifests, source indexes, deterministic validators, and bounded availability statements to strengthen computational traceability and reproducibility.",Sanitized artefact reproducibility is not equivalent to raw prompt-response replay.
