trace_id,claim,supporting_evidence,source_register,source_status,literal_or_close_match_in_manuscript,audit_status,notes
TRACE-05AV-001,Evidence-State Reliability is distinct from parser validity.,05AU manuscript skeleton; 05AU contribution framing; 05AU results section,05AV internal claim matrix,PASS,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AV-002,Parser validity improves while stage/evidence success deteriorates in the committed Pilot 05 setup.,05AU results section; 05AS final tables referenced by 05AU,05AV internal claim matrix,PASS,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AV-003,"Reliability cascades should be evaluated across decision, audit, and escalation stages.",05AU methods and results drafts,05AV internal claim matrix,PASS,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AV-004,05AV creates no new empirical evidence.,05AV manifest; committed 05AU source boundary,05AV internal claim matrix,PASS,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AV-005,"No broad GLM reliability, general LLM reliability, provider superiority, deployment safety, regulatory validity, or consumer-harm prevalence is claimed.",05AU claim boundary and limitations; 05AV do-not-claim boundary,05AV internal claim matrix,PASS,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-001,Final accuracy or parser compliance does not exhaust reliability evaluation.,SRC-CHECKLIST-2020;SRC-CALIBRATION-2017;SRC-RAGAS-2024;SRC-ARES-2024;SRC-GCD-2023,05AX external claim map,direct_and_synthetic,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-002,Schema validity and substantive correctness can diverge.,SRC-GCD-2023;SRC-CONSTRAINT-TAX-2026;SRC-STRUCTURED-BENCH-2026,05AX external claim map,direct,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-003,Evidence sufficiency is an established adjacent concern.,SRC-INSUFFICIENT-EVIDENCE-2022;SRC-SURE-RAG-2026;SRC-EVIDENCE-DELAY-2026,05AX external claim map,direct,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-004,"Error propagation and cascades are established concepts, including emerging LLM-specific work.",SRC-CASCADE-NETWORKS-2002;SRC-SPARK-FIRE-2026;SRC-HALLUCINATION-CASCADE-2026,05AX external claim map,direct_and_contextual,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-005,"In Pilot 05, parser validity improved under degraded evidence while stage/evidence success deteriorated.",Committed 05AR/05AS/05AT/05AW artifacts at repository checkpoint f05ae265706bff5e408ae80c35f07e019a850d4d.,05AX external claim map,internal_empirical_only,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-006,Pilot 05 supports Evidence-State Reliability as distinct from parser validity.,SRC-CHECKLIST-2020;SRC-RAGAS-2024;SRC-ARES-2024;SRC-GCD-2023;SRC-CONSTRAINT-TAX-2026,05AX external claim map,internal_empirical_plus_external_positioning,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-007,An audit stage is not equivalent to full organizational assurance.,SRC-AUDIT-2020;SRC-FSB-AI-2017,05AX external claim map,direct_boundary,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-008,"Deferral, abstention, and escalation should be evaluated separately from base prediction.",SRC-DEFER-2020;SRC-SELECTIVENET-2019,05AX external claim map,direct,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-009,CFPB complaint data require bounded interpretation.,SRC-CFPB-DATABASE,05AX external claim map,direct_official,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
TRACE-05AX-010,Transparent artefacts and reporting strengthen computational reproducibility.,SRC-REPRO-2021,05AX external claim map,direct,NO,PASS,Literal/close-match field is conservative and does not replace semantic review.
